[2025-03-02 16:48:45] Received scan results from client 151
Invalid Props Reported by Client:
1. Category: Lights | Object: V_44_D_emis | Name: Light 36
2. Category: Lights | Object: apa_mp_h_lit_floorlamp_04 | Name: Light 39
3. Category: Lights | Object: hei_heist_lit_lamptable_05 | Name: Light 43
4. Category: Details | Object: v_20_ornaeagle | Name: Figurine adelaar
5. Category: Storage | Object: v_61_lng_mesh_unitc | Name: Bookcase white
6. Category: Bathroom | Object: prop_sink_03 | Name: Sink 5
7. Category: Walldecoration | Object: apa_mp_stilts_bed_art | Name: 3d art
8. Category: Walldecoration | Object: apa_mp_stilts_a_study_pics | Name: Paintingen
Starting furniture analysis from ak47_housing table...
=== Global Prop Usage Summary ===
Prop: prop_shower_towel | Used: 1 times
Prop: gr_prop_gr_laptop_01c | Used: 8 times
Prop: hei_prop_hei_pic_hl_valkyrie | Used: 3 times
Prop: hei_prop_heist_pic_10 | Used: 2 times
Prop: p_tumbler_cs2_s | Used: 84 times
Prop: vw_prop_vw_wallart_73a | Used: 2 times
Prop: apa_mp_h_acc_artwalll_03 | Used: 65 times
Prop: v_res_foodjarb | Used: 31 times
Prop: prop_cash_case_01 | Used: 8 times
Prop: prop_couch_sm_06 | Used: 1 times
Prop: hei_heist_str_avunitl_03 | Used: 9 times
Prop: hei_heist_din_chair_05 | Used: 1 times
Prop: v_med_examlight | Used: 3 times
Prop: prop_cs_fork | Used: 10 times
Prop: vw_prop_casino_art_panther_01c | Used: 18 times
Prop: vw_prop_vw_colle_rsrcomm | Used: 7 times
Prop: vw_prop_casino_art_dog_01a | Used: 5 times
Prop: prop_vend_coffe_01 | Used: 4 times
Prop: p_cs_locker_01_s | Used: 38 times
Prop: apa_mp_h_din_table_05 | Used: 152 times
Prop: v_res_m_bananaplant | Used: 43 times
Prop: hei_prop_heist_pic_05 | Used: 6 times
Prop: prop_anim_cash_pile_02 | Used: 21 times
Prop: vw_prop_casino_art_miniature_05a | Used: 7 times
Prop: v_res_m_palmplant1 | Used: 23 times
Prop: prop_toilet_soap_03 | Used: 21 times
Prop: prop_tree_olive_creator | Used: 4 times
Prop: ex_prop_crate_money_sc | Used: 2 times
Prop: vw_prop_vw_wallart_142a | Used: 7 times
Prop: prop_cs_bowie_knife | Used: 7 times
Prop: prop_cs_keyboard_01 | Used: 18 times
Prop: vw_prop_vw_wallart_156a | Used: 3 times
Prop: prop_pot_05 | Used: 11 times
Prop: prop_beach_lilo_01 | Used: 7 times
Prop: vw_prop_vw_wallart_132a | Used: 10 times
Prop: prop_bush_ornament_01 | Used: 2 times
Prop: v_res_mdbedtable | Used: 31 times
Prop: prop_ld_keypad_01b | Used: 3 times
Prop: prop_cs_cashenvelope | Used: 23 times
Prop: v_med_bin | Used: 3 times
Prop: hei_heist_acc_artwalll_01 | Used: 5 times
Prop: prop_plant_int_05b | Used: 167 times
Prop: vw_prop_casino_art_horse_01b | Used: 11 times
Prop: prop_bin_07b | Used: 4 times
Prop: v_res_fh_dineeamesa | Used: 4 times
Prop: apa_mp_h_stn_sofacorn_09 | Used: 41 times
Prop: apa_mp_h_acc_plant_tall_01 | Used: 161 times
Prop: vw_prop_casino_art_basketball_01a | Used: 3 times
Prop: prop_cs_petrol_can | Used: 1 times
Prop: prop_blox_spray | Used: 7 times
Prop: hei_heist_acc_rugwooll_02 | Used: 77 times
Prop: apa_mp_h_yacht_coffee_table_01 | Used: 5 times
Prop: hei_heist_str_sideboardl_03 | Used: 502 times
Prop: apa_mp_h_str_sideboardm_03 | Used: 18 times
Prop: prop_speaker_07 | Used: 2 times
Prop: v_res_mdchest | Used: 9 times
Prop: apa_mp_h_din_chair_08 | Used: 78 times
Prop: v_res_mkniferack | Used: 27 times
Prop: prop_wall_light_11 | Used: 7 times
Prop: vw_prop_vw_wallart_145a | Used: 1 times
Prop: prop_jewel_04b | Used: 1 times
Prop: v_res_pcheadset | Used: 23 times
Prop: prop_t_sofa | Used: 14 times
Prop: v_med_apecrate | Used: 4 times
Prop: vw_prop_casino_art_plant_05a | Used: 24 times
Prop: vw_prop_vw_wallart_111a | Used: 11 times
Prop: vw_prop_casino_art_console_02a | Used: 6 times
Prop: v_med_p_sofa | Used: 5 times
Prop: v_ind_cs_toolboard | Used: 15 times
Prop: v_ret_j_flowerdisp | Used: 17 times
Prop: v_ilev_m_sofacushion | Used: 2 times
Prop: gr_prop_gr_sign_01a | Used: 1 times
Prop: v_ilev_m_sofa | Used: 12 times
Prop: apa_p_h_acc_artwalls_04 | Used: 20 times
Prop: v_med_cor_lightbox | Used: 3 times
Prop: prop_cctv_02_sm | Used: 1 times
Prop: ch_prop_ch_wallart_01a | Used: 6 times
Prop: prop_cs_binder_01 | Used: 15 times
Prop: prop_chall_lamp_02 | Used: 253 times
Prop: prop_mouse_01b | Used: 23 times
Prop: prop_bench_08 | Used: 2 times
